,track_id,playlist_name,track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
72,4faOsdm3wPyhqSgkM9jZ9D,Tangos y boleros,Dos Gardenias,Daniel Santos,0.768,0.304,5,-7.898,0,0.0447,0.916,0.0898,0.501,0.948,116.054,183182
73,3HRqqfLJXMvEcqflLpy5Os,Tangos y boleros,Cancionero,Alvaro Carrillo,0.374,0.108,2,-15.849,1,0.0561,0.959,5.04e-05,0.104,0.463,177.727,126413
74,3ubZ2SxShewBQ6Ou6R7iyX,Tangos y boleros,Garúa - Romaphonic,Andrés Calamaro,0.583,0.407,2,-6.77,0,0.0578,0.879,0.0,0.123,0.428,90.691,220333
75,6aF9yldqlWgCJctmIAe2an,Tangos y boleros,Los aviones - Romaphonic,Andrés Calamaro,0.669,0.248,9,-9.747,0,0.0296,0.964,5.27e-05,0.261,0.226,110.125,304909
76,7EiQvgP5717XWkMwNFZlGq,Tangos y boleros,Milonga del trovador - Romaphonic,Andrés Calamaro,0.466,0.363,10,-6.28,1,0.0345,0.923,0.0,0.126,0.234,98.153,295516
77,7ozOXH5WVVLL0VCXNDLgut,Tangos y boleros,Absurdo - Romaphonic,Andrés Calamaro,0.532,0.399,7,-7.12,0,0.0371,0.918,2.15e-06,0.0925,0.425,134.919,193570
78,0mAS4AbtK9KHE9QJQbPuZN,Tangos y boleros,Lágrimas Negras (feat. Omara Portuondo),Buena Vista Social Club,0.546,0.544,0,-8.708,0,0.0413,0.722,0.0,0.0807,0.856,82.558,244917
79,3mNKgwNiyOkGPWCo3jV1Ap,Tangos y boleros,¿Dónde estabas tú?,Omara Portuondo,0.732,0.314,0,-11.633,0,0.0532,0.727,0.00528,0.268,0.636,116.968,223133
80,6QTsakwuxHCS58zrmWVQ8M,Tangos y boleros,Aquellos Ojos Verdes,Ibrahim Ferrer,0.355,0.258,2,-12.952,1,0.0294,0.846,0.003,0.155,0.27,82.183,294293
81,3253prbfEMwMJUKxKvlSBI,Tangos y boleros,He perdido contigo,Omara Portuondo,0.694,0.253,5,-13.613,0,0.0359,0.925,0.0213,0.149,0.775,126.63,227400
82,4UOt0ObZ4Oqi7LSU1Gzzkq,Tangos y boleros,Por Una Cabeza,Carlos Gardel,0.373,0.264,8,-7.393,0,0.0571,0.969,0.00869,0.296,0.435,63.924,153120
83,1zzUTT4TjWwggngA5l6si3,Tangos y boleros,El Milagro,Astor Piazzolla,0.456,0.362,1,-10.664,0,0.0443,0.923,0.0132,0.0807,0.318,116.524,200867
84,3Bm4LUMGUQAuAtlwjjBVnC,Tangos y boleros,Neotango,Astor Piazzolla,0.434,0.625,2,-7.496,0,0.0394,0.787,0.0138,0.0865,0.586,125.109,200282
85,72C0VoLiKRJO3eLtDAr53E,Tangos y boleros,Las Cuatro Estaciones Porteñas / Invierno Porteño,Gryphon Trio,0.219,0.19,3,-16.298,1,0.039,0.915,0.774,0.121,0.151,78.848,358067
86,2YBOTCEdUXpeYfI0qgNOwA,Tangos y boleros,Cafetin de Buenos Aires,Astor Piazzolla,0.351,0.423,4,-8.025,0,0.0538,0.976,0.598,0.323,0.447,80.311,191067
87,0cV8PjcgBcKFU0eP7jjApM,Tangos y boleros,Otoño porteño (Autumn),Orfeum Trio,0.204,0.0671,4,-19.82,0,0.0446,0.961,0.846,0.14,0.037,74.435,349320
88,3c7m2Kzg1q9iKa4yhKbuea,Tangos y boleros,Lágrimas Negras,Bebo Valdés,0.435,0.268,2,-12.552,0,0.0506,0.962,0.873,0.168,0.748,87.76,224173
89,0dRlYMVZVSW6MBpeP5mH71,Tangos y boleros,Montserrat,Orquesta Del Plata,0.719,0.599,7,-9.146,1,0.0364,0.0061,0.867,0.124,0.422,120.007,310120
90,527GSISK0TFtGuUnscgS5y,Tangos y boleros,Los Tangueros,Orquesta Del Plata,0.79,0.84,11,-7.659,0,0.0379,0.0404,0.628,0.117,0.378,127.583,312520
91,4NLWlxYCPrw2PhfJvfxRWI,Tangos y boleros,Mandinga,Ruben Gonzalez,0.584,0.473,7,-11.248,1,0.037,0.693,0.659,0.109,0.708,91.503,507067
92,3ciDewwDbazjc7UnDtY4nA,Tangos y boleros,La Flor De La Canela,Chabuca Granda,0.58,0.479,9,-10.901,0,0.0558,0.821,4.78e-06,0.1,0.598,154.019,201493
93,0FpBO0Pyoh4MZVmNO3zwnc,Tangos y boleros,Sofrito,Mongo Santamaria,0.644,0.519,10,-8.895,1,0.0373,0.275,0.0192,0.0793,0.453,117.739,366200
94,3dSWasxGfqo583KtNvqrXf,Tangos y boleros,Déjame Así,Maite Hontelé,0.789,0.673,9,-9.155,0,0.0359,0.352,0.00179,0.0983,0.914,144.028,258747
95,0cWrotZwqQAUrYpEeliVuR,Tangos y boleros,La Comparsa,Chucho Valdés,0.491,0.658,1,-9.693,1,0.0516,0.383,0.772,0.111,0.655,105.56,416933
96,1Nkq4Ks8Q3aXlmxD3iLx9v,Tangos y boleros,El Día Que Me Quieras (Remasterizado 2022),Carlos Gardel,0.381,0.23,0,-12.03,0,0.0414,0.963,0.00598,0.111,0.413,113.411,201933
97,6BSfZ5AJg5OzUXQfMgCOkI,Tangos y boleros,El Aguacate,Julio Jaramillo,0.708,0.252,2,-12.475,0,0.0511,0.876,1.15e-05,0.173,0.718,95.6,181211
98,5Rd7QtzR7pq2Xpfm2DBChB,Tangos y boleros,El Aguacate,Luz Pinos,0.619,0.191,7,-12.723,0,0.0394,0.902,0.00101,0.109,0.318,79.972,274663
99,3V4bMgeel5aUjLPMuDxMN3,Tangos y boleros,Que Nadie Sepa Mi Sufrir,Los Tres Reyes,0.648,0.346,1,-11.387,0,0.0975,0.756,8.6e-06,0.14,0.76,155.868,190400
100,1gDZARp2QrP8t2IVrgdSbO,Tangos y boleros,Que Nadie Sepa Mi Sufrir,Julio Jaramillo,0.718,0.408,2,-7.662,0,0.152,0.467,0.0,0.0975,0.703,165.061,162640
101,6EJCOji2hItbxSfkDQhzIW,Tangos y boleros,Que Nadie Sepa Mi Sufrir,Puerto Candelaria,0.711,0.447,2,-8.754,0,0.0602,0.721,2.01e-06,0.0954,0.787,160.073,248216
102,6e02pDi21TH63YBn39VqA4,Tangos y boleros,Senderito De Amor,Puerto Candelaria,0.83,0.548,2,-8.266,0,0.074,0.462,0.000302,0.0617,0.965,160.031,223847
103,2AW7BpJBv9AWlTiZwrP3pV,Tangos y boleros,The Peanut Vendor,Pérez Prado,0.527,0.768,5,-6.815,1,0.0736,0.668,0.806,0.161,0.908,172.531,161344
