,track_id,track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
631,4LkJXlCD9AYjScPywhUjZs,Dynamite,Jamiroquai,0.85,0.707,1,-6.026,0,0.0604,0.0642,3.49e-06,0.139,0.706,114.387,295400
632,1FwGXG3B6RVgRPAZ6BVL59,Don de fluir,Jorge Drexler,0.625,0.712,0,-8.2,1,0.0397,0.532,0.00889,0.219,0.903,159.912,235853
633,0udUVjtkBzlCvZcfcYQzS4,Close To You,Dancing Mood,0.592,0.418,5,-11.409,1,0.0401,0.21,0.000877,0.0977,0.738,122.151,329027
634,6pbCkvCENw0suVGr4Ckkae,Like Glue,Sean Paul,0.757,0.78,1,-5.038,1,0.319,0.0811,0.0,0.113,0.59,97.917,232507
635,3SnGymj6ijE2iuUfWxLo1q,I'm Coming Out,Diana Ross,0.72,0.828,5,-9.211,1,0.0462,0.185,0.429,0.0839,0.768,110.071,323347
636,1Q5kgpp4pmyGqPwNBzkSrw,Roadhouse Blues,The Doors,0.623,0.633,9,-8.212,1,0.0304,0.336,4.6e-05,0.147,0.895,121.119,243827
637,3RZMzCvYsmJ0u2ioKTOsmJ,Honky Tonk Women - Mono Version,The Rolling Stones,0.562,0.779,7,-6.705,1,0.0592,0.363,0.0292,0.066,0.967,119.602,179387
638,7F6pMP39RL3eLP4SDTDHbm,Awkward,San Cisco,0.589,0.867,6,-5.791,0,0.106,0.0765,8.19e-05,0.108,0.903,161.899,153960
639,2akjLHnHjDGsgqxuf48VYs,The Bay,Metronomy,0.803,0.47,6,-7.232,0,0.0387,0.587,0.091,0.0723,0.887,121.226,290173
640,6zfczP87XO2SxWlQtnjFNa,The Look,Metronomy,0.638,0.535,9,-7.792,0,0.0415,0.623,0.0391,0.0837,0.504,84.947,277653
641,4pNiE4LCVV74vfIBaUHm1b,Sir Duke,Stevie Wonder,0.588,0.568,6,-9.766,1,0.0672,0.16,0.0,0.0792,0.952,106.938,232760
642,4DgPcCPpxVN28ZOQBZBhu4,Gym tonic - Original,Bob Sinclar,0.794,0.638,1,-4.041,1,0.0887,0.0065,1.96e-05,0.04,0.374,130.015,371566
643,42LFpmFNacf6rAIZqaCiWt,"Llora, Llora",Tego Calderón,0.729,0.844,10,-7.207,0,0.205,0.288,0.0,0.0839,0.872,94.846,209613
644,60O7AerEvNrB7HMjmp1xan,Sin Exagerar (feat. Tego Calderón),Calle 13,0.734,0.896,4,-4.413,0,0.281,0.375,0.0,0.475,0.923,95.026,206427
645,385MtwO57oRK3pMDt0lj9c,Les pions se révoltent,Cissy Street,0.742,0.87,0,-8.083,1,0.0569,0.0169,0.888,0.124,0.964,107.824,235724
646,6iqWLU8bqAuviRRol0hD2g,Fuego,Jacobo Velez,0.735,0.701,7,-8.064,0,0.16,0.612,1.12e-06,0.577,0.899,168.02,225233
647,0RtNG9yEhEWId2c9KsYN4Z,Bare Necessities,The Jive Aces,0.786,0.617,5,-8.16,1,0.0753,0.322,1.28e-06,0.0576,0.898,107.718,128332
648,5L5S8FbCTNfsl3tsaLHBvk,Pera vrechi,The Speakeasies' Swing Band!,0.734,0.707,8,-6.892,1,0.0746,0.739,0.0,0.187,0.816,110.101,199347
649,5t7XfP2hjyaBrAges7rPeL,Swingin' on Nothin',Jonathan Stout and his Campus Five,0.726,0.253,5,-13.873,0,0.0482,0.821,0.0,0.25,0.718,123.665,225080
650,6HdWaXQzYG4Q7kpKkjJaly,Siempre Happy,Habana Abierta,0.501,0.32,5,-10.78,1,0.0413,0.862,0.0,0.109,0.413,103.142,330467
651,2heG20ThfguqAgUXNsy7dT,Una Broma Seria,Habana Abierta,0.802,0.568,0,-9.843,1,0.05,0.427,1.06e-05,0.315,0.718,103.99,182640
652,76tFzRYmKjURYhCM8j1CrV,El Gato y el Ratón,Habana Abierta,0.679,0.685,7,-8.979,1,0.0535,0.467,3.69e-06,0.378,0.653,114.096,238067
653,5X4EAUGRDw6U7D057evbQs,Asere ¿Qué Volá?,Habana Abierta,0.771,0.86,2,-6.534,1,0.0464,0.426,0.0,0.1,0.849,112.041,278187
654,6k3GZGZksbEf7k3nmEDfjP,Son Iguales,Habana Abierta,0.832,0.695,2,-7.861,1,0.0333,0.339,0.0,0.0992,0.777,129.953,260280
655,4ZXfTIeCdWBuZCbKgicVcY,Bailala Bien,Habana Abierta,0.8,0.858,4,-8.329,1,0.11,0.559,4.3e-05,0.103,0.951,118.011,207080
656,7GpLrSiwgo8MdbhlYMiDE5,Como Soy Cubano,Habana Abierta,0.758,0.93,11,-7.119,0,0.0571,0.349,0.000739,0.0896,0.67,117.935,328267
657,24J7YHAgSGxCRI4Kpd9xk3,Basta Que Lo Digas Tú,Habana Abierta,0.747,0.72,0,-6.809,0,0.064,0.552,0.0,0.0857,0.628,104.963,234440
658,2X33D3wMAX35Atf7dQmkpU,Corazón Boomerang,Habana Abierta,0.797,0.537,0,-6.958,1,0.0356,0.348,0.0,0.132,0.577,129.979,254160
659,1BmCHEhtAe8TXWGjPxlPwy,La Novia de Superman,Habana Abierta,0.741,0.68,4,-8.932,0,0.0769,0.214,0.0,0.101,0.88,89.96,252720
660,7JdYz8glqZiToSRAsKPJW8,El Relajito,Habana Abierta,0.809,0.699,2,-8.618,1,0.0517,0.312,0.0,0.0895,0.633,105.019,240640
661,3HzZIN8oncO0hw3FhtYGBX,Lo Bueno No Sale Barato,Habana Abierta,0.751,0.841,9,-6.898,1,0.0504,0.198,4.3e-06,0.302,0.725,103.977,244013
662,0zZDt7p7ETtUrWgELG8VoF,Boca Abajo,Habana Abierta,0.768,0.898,1,-6.55,1,0.0393,0.465,0.0,0.0629,0.896,118.069,209307
663,1qEmFfgcLObUfQm0j1W2CK,Late Night Talking,Harry Styles,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,177955
664,5OVAVELGyFIICZk3DO47hY,Una Conexión,Macaco,0.751,0.354,4,-8.158,1,0.0375,0.67,0.0,0.105,0.553,126.046,209222
665,2U49RcNt0MSem9HUqZzFxS,De La Mano (feat. Minek),Lucas Arnau,0.653,0.358,5,-8.949,1,0.101,0.585,0.0,0.12,0.713,79.737,235627
666,0qYsta9iTDMNLKNg8JnKKt,Los Chicos Sí Lloran,Diamante Eléctrico,0.694,0.696,4,-7.21,0,0.0544,0.153,0.136,0.126,0.676,95.014,222963
667,5v27lNcQobl03uE8bk97FF,Alma en Pedazos,Superlitio,0.509,0.699,9,-7.827,0,0.0286,0.00679,9.33e-05,0.377,0.322,173.948,249522
668,31Pwa4vxNUEtxYQIhZfc3B,Dime Cuánto - Remasterizado,El Niño y la Verdad,0.705,0.861,5,-6.002,0,0.0419,0.181,0.0,0.0956,0.885,169.957,315520
669,7HJlg4JTHFXsfFGXTkkeQq,Dale Lo Que Lleva (with Maykel Fonts),Maykel Blanco Y Su Salsa Mayor,0.587,0.966,4,-4.955,0,0.0678,0.532,2.68e-06,0.0841,0.901,175.739,302707
670,7w9jjtBMEtPyYPZnQ1EV4n,Fragil al Viento,Kraken,0.472,0.684,2,-3.889,0,0.0292,0.0701,0.0,0.252,0.247,128.045,297745
671,2hYMUJfIeNLMFOaZHX3m6a,Pa Que Caliente,Michael Stuart,0.86,0.734,7,-6.698,0,0.034,0.519,2.35e-06,0.0508,0.934,123.994,243250
672,2HZ67WFKUDZkvYVfjXmfli,Conga Pá Cerrar,Alexander Abreu,0.795,0.843,4,-4.377,0,0.0643,0.473,1.8e-05,0.135,0.755,124.999,333827
673,1lxswgIpzV6HhENRvkflES,Chillax (feat. Ky-Mani Marley),Farruko,0.827,0.646,1,-4.727,0,0.0766,0.0724,0.0,0.247,0.512,92.057,197840
674,7nzsY8vlnKdvGOEE0rjAXZ,Arabella,Arctic Monkeys,0.579,0.558,2,-6.986,1,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,207357
675,3oauXpkAKyzYWkAiZAkVUH,Que Pasa Loco ?,Issac Delgado,0.735,0.728,0,-9.033,1,0.0574,0.249,1.64e-05,0.0622,0.956,87.655,378070
676,32c0IGmmv7wAFKYcFQ4mps,Mi Mulata En La Habana,Maykel Blanco Y Su Salsa Mayor,0.672,0.938,7,-2.299,1,0.0386,0.616,0.0,0.129,0.908,97.111,273520
677,1DF9XPespiTUJKh5MRRStG,Fever,La Lupe,0.506,0.547,0,-6.395,0,0.0527,0.595,1.66e-05,0.099,0.744,98.837,165213
678,6Ds9miFD06FwpFdAuqDo0h,Amor verdadero,Afro-Cuban All Stars,0.591,0.497,2,-11.801,1,0.0397,0.354,7.09e-06,0.136,0.756,136.568,396440
679,460e8voeb8mHQA8kl4AQMq,La Explosión (Instrumental) - Ao Vivo,Irakere,0.565,0.564,7,-12.871,0,0.0418,0.41,0.417,0.742,0.77,104.579,517107
680,7xpJQcmsnGG9ojztoCNe54,Dónde Va Chichi?,Sierra Maestra,0.536,0.72,9,-9.258,1,0.0386,0.0996,0.00023,0.0502,0.838,116.183,313133
681,7Cukyed54aN3Cdz0KbI90f,"Temba, tumba y timba",Mayito Rivera,0.574,0.894,2,-5.971,1,0.0429,0.234,0.0,0.175,0.962,108.128,412000
682,5v5BV2fOtSJFbMTlptSxQB,El Tembla,David Calzado y su Charanga Habanera,0.571,0.898,0,-8.531,1,0.0424,0.442,0.00339,0.263,0.964,98.988,355814
683,7qV9aXGYDuKpBSGXxQqjQj,La Cosquillita,Qva Libre,0.78,0.818,11,-8.635,0,0.108,0.193,0.0,0.919,0.738,107.946,252400
684,5Yz6JnzlUxvj8cix5DU6ax,Olvidar Bailando,La-33,0.672,0.604,0,-6.83,0,0.298,0.632,1.61e-06,0.283,0.632,180.249,187826
685,0HD5gvrDsRp4tAsMFxTzJ3,Así Se Siente,Temple Sour,0.516,0.571,3,-8.117,0,0.0411,0.285,0.0,0.113,0.577,151.847,276827
686,53qU2K55RJgfs9F50irpB3,Just Jammin',Gramatik,0.815,0.681,10,-5.785,0,0.0854,0.0675,0.012,0.117,0.803,90.008,389500
687,2zSaRaop42B6bInzcBcyaD,#Sádico,Rawayana,0.81,0.622,1,-10.985,1,0.15,0.272,0.000688,0.0963,0.688,122.026,344863
688,29rBJWizgnVht4qXpHyDxh,Willing & Able,Disclosure,0.571,0.632,5,-6.884,0,0.752,0.252,0.0,0.104,0.943,199.987,292760
689,0usm8p309eb1kUDBy26u3t,I Want Your Lovin’ - Edit,Whilk & Misky,0.725,0.522,6,-8.108,0,0.0702,0.895,0.0703,0.135,0.878,91.996,200392
690,1qROMoGOaag7LrXhukbDRZ,Bemba Colorá - Live,Fania All Stars,0.506,0.8,5,-5.684,0,0.134,0.635,0.00385,0.959,0.839,119.452,712920
691,7Lln3fbuYhNpTQ9IdNXzEW,El Yerberito Moderno,Sonora Matancera (En Vivo),0.599,0.934,9,-4.673,1,0.0387,0.461,0.00341,0.296,0.805,118.406,244637
692,6ijh9JrrEYvXsVl45ohmgJ,Dulce Habanera,Osvaldo Farrés,0.579,0.737,8,-4.386,1,0.0545,0.187,0.0821,0.0324,0.847,125.542,218547
693,3mohgPZas4iMx0aiuH1AIl,Big Ugly,Snarky Puppy,0.51,0.728,7,-7.082,1,0.0304,0.0288,0.887,0.109,0.349,143.952,549219
694,3eg6Yi9x0gN3k4nD4h6il3,Dos Gardenias,Buena Vista Social Club,0.547,0.2,4,-16.734,0,0.0392,0.826,3.84e-05,0.135,0.551,91.768,182973
695,0TGLRGD4ZRp6sM5jy8EOjR,Soy El Rey,Pete Rodriguez,0.51,0.643,5,-6.415,1,0.0369,0.77,0.00346,0.251,0.599,109.527,185547
696,4jM0v4ReOQh5RntXfiG3NN,Moliendo café,Vieja Trova Santiaguera,0.447,0.623,6,-6.136,0,0.0485,0.716,0.0,0.19,0.703,91.914,295400
697,7dRfobhDNnsEgB2ZArxA1f,El Cuarto de Tula,Buena Vista Social Club,0.552,0.664,9,-13.167,1,0.0454,0.595,0.000409,0.299,0.858,104.776,444533
698,6hGfBBs2yvBcMbfTMsARGx,Patria Querida,Los Guaracheros De Oriente,0.84,0.565,0,-9.145,1,0.0666,0.703,1.18e-05,0.127,0.726,124.247,189962
699,2OQnzGYIOhcyWkfzckNPp5,Mueve la Cintura Mulata,Cuarteto Oriente,0.65,0.556,4,-11.344,0,0.0457,0.0657,0.000566,0.0632,0.763,103.109,487867
700,1SwdyY367WF7OwvOZl2yml,Remedy,Breakbot,0.754,0.597,5,-6.472,1,0.0554,0.61,0.000269,0.172,0.499,107.038,268520
701,7EgF5XXa4TZQT1HTpMRHNj,Julito Maraña,Voltio,0.714,0.834,7,-6.857,1,0.219,0.13,1.06e-05,0.382,0.833,89.883,204333
702,0XKLusi3tWRd7MNizZfkPg,Yardbird Suite,Charlie Parker,0.792,0.256,0,-14.313,1,0.0963,0.954,0.904,0.298,0.833,106.914,175733
703,17IrhV0fINXu3GCA3Ssz4Y,Tot Està per Fer,Acció,0.786,0.597,4,-6.735,0,0.0341,0.192,2.37e-05,0.152,0.752,124.035,240131
704,3SK45LddxlEkzI8OWO9Eyo,Ingobernable,C. Tangana,0.705,0.757,6,-5.608,0,0.0656,0.195,0.000228,0.0524,0.737,104.973,187053
705,5gEUDNQvoQjdjklrwPdGwD,Párteme La Cara,C. Tangana,0.761,0.296,0,-10.22,1,0.0484,0.551,0.000492,0.134,0.579,127.938,167867
706,5kw0PCwGS9QCMwvmsXyvxx,Era,Estopa,0.696,0.558,2,-7.85,0,0.0437,0.711,0.000204,0.102,0.429,90.82,182480
707,2DUCbfLsEnxrNibAorMUkt,Déjalo,Piso 21,0.872,0.579,5,-4.336,1,0.136,0.214,2.37e-05,0.264,0.759,88.95,179663
708,4OhNdo11639YkCcQqNlIQh,Summertime,Art Blakey Quartet,0.424,0.4,2,-10.783,0,0.0426,0.638,1.32e-06,0.0993,0.56,175.768,278000
709,5MjUkhqCpr5uZ39xZmLZxe,Me And Those Dreamin' Eyes Of Mine,D'Angelo,0.511,0.402,4,-10.695,0,0.219,0.702,0.00014,0.11,0.503,83.339,286800
710,0hoTpZfz9rc9lYtuyXY6bq,Siempre Juntos,Naty Botero,0.692,0.82,4,-4.031,0,0.0537,0.292,0.000451,0.248,0.445,147.964,285547
